Name	Description	SourceMTOverride	SampleMTOverride	Group	VNI subdivision	Characteristics[mating type]	Characteristics[country]	Characteristics [specimen]	Characteristics [health_status]	Characteristics [organism]	Characteristics [reference]	In GWAS	Phenotyped	Characteristics [fungus organism]	Characteristics [fungal strain]	Lineage	Fluconazole Ave+Std Dev	Paraquat Ave+Std Dev	H2O2	LDOPA Ave+Std Dev
AD6-55a	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIb	_	France 	specimen from organism		Human	Dromer et al 2007 PLoS Med	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii AD6-55a					
Arg1366	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIb	_	Argentina	specimen from organism		Human	Litvintseva et al 2006 Genetics	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Arg1366					
Br795	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIa	_	Brazil	specimen from organism		Human	Litvintseva et al 2006 Genetics	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Br795					
Bt100	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIc	_	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell, Litvintseva et al 2006 Genetics	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt100					
Bt101	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIc	_	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt101					
Bt104	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIc	_	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt104					
Bt106	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIc	_	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt106					
Bt107	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIa	_	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt107					
Bt108	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIc	_	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt108					
Bt11	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIc	_	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt11					
Bt110	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIc	_	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt110					
Bt111	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIb	_	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt111					
Bt114	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIc	_	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt114					
Bt116	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIc	_	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt116					
Bt117	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIc	_	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt117					
Bt118	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIc	_	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt118					
Bt119	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIa	_	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt119					
Bt120	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIc	_	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt120					
Bt121	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIc	_	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell, Litvintseva et al 2006 Genetics	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt121					
Bt123	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIc	_	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt123					
Bt126	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIc	_	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt126					
Bt129	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIc	_	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt129					
Bt130	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIc	a	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell, Litvintseva et al 2006 Genetics	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt130					
Bt132	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIa	_	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt132					
Bt134	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIa	_	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell, Litvintseva et al 2006 Genetics	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt134					
Bt137	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIc	_	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt137					
Bt138	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIa	_	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt138					
Bt139	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIa	_	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt139					
Bt141	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIa	_	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt141					
Bt15	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIc	_	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell, Litvintseva et al 2006 Genetics	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt15					
Bt150	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIc	_	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell, Litvintseva et al 2006 Genetics	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt150					
Bt151	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIc	_	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt151					
Bt153	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIc	_	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt153					
Bt155	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIc	_	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt155					
Bt156	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIc	_	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt156					
Bt160	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIc	_	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt160					
Bt161	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIc	_	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt161					
Bt164	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIa	_	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt164					
Bt17	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIc	_	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt17					
Bt18	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIa	_	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt18					
Bt19	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIc	_	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt19					
Bt2	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIc	_	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt2					
Bt20	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIc	_	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt20					
Bt202	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIc	_	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt202					
Bt203	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIc	_	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt203					
Bt205	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIc	_	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt205					
Bt207	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIc	_	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt207					
Bt209	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIc	_	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt209					
Bt210	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIc	_	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt210					
Bt211	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIc	_	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt211					
Bt212	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIa	_	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt212					
Bt213	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIc	_	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt213					
Bt214	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIc	_	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt214					
Bt23	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIc	_	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt23					
Bt28	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIa	_	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt28					
Bt3	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIa	_	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt3					
Bt30	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIc	_	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt30					
Bt37	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIc	_	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt37					
Bt4	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIc	_	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt4					
Bt42	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIc	_	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt42					
Bt43	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIc	_	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt43					
Bt44	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIc	_	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt44					
Bt47	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIc	_	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt47					
Bt48	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIa	_	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt48					
Bt49	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIb	_	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt49					
Bt57	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIc	_	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt57					
Bt58	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIa	_	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt58					
Bt59	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIc	_	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt59					
Bt6	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIa	_	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt6					
Bt62	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIc	_	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt62					
Bt68	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIc	_	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell, Litvintseva et al 2006 Genetics	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt68					
Bt72	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIc	_	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt72					
Bt77	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIc	_	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt77					
Bt78	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIc	_	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt78					
Bt79	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIc	_	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt79					
Bt8	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIc	_	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt8					
Bt83	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIc	_	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt83					
Bt87	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIc	_	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt87					
Bt90	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIc	_	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt90					
Bt92	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIa	_	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt92					
Bt93	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIc	_	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt93					
Bt95	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIc	_	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt95					
Bt97	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIc	_	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt97					
Bt99	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIa	_	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt99					
C23	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIb	_	USA	bronch wash	HIV- 	Human	Litvintseva et al 2009 Infect Immun, Litvintseva et al 2006 Genetics	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii C23					
C27	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIa	_	USA	Cerebrospinal fluid	cancer	Human	Litvintseva et al 2009 Infect Immun, Litvintseva et al 2006 Genetics	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii C27					
C8	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIa	_	USA	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2009 Infect Immun, Litvintseva et al 2006 Genetics	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii C8					
CHC193	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIa	_	China	specimen from organism		Human	Chen et al 2008 Emerg Infect Dis	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii CHC193					
D17-1	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIa	_	S. Africa	feces		pigeon	Litvintseva et al 2011 PLoS One	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii D17-1					
Gb118	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIa	_	Botswana	feces		pigeon	Chen et. al 2015 Mol. Ecol.	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Gb118					
Gb159-1	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIc	_	Botswana	tree		tree	Chen et. al 2015 Mol. Ecol.	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Gb159-1					
Gbc16-1	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIc	_	Botswana	decayed tree 		tree	Chen et. al 2015 Mol. Ecol.	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Gbc16-1					
Gbc39-1	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIc	_	Botswana	Acacia tree		Acacia tree	Chen et. al 2015 Mol. Ecol.	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Gbc39-1					
Gbc39-2	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIc	_	Botswana	Acacia tree		Acacia tree	Chen et. al 2015 Mol. Ecol.	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Gbc39-2					
Gbc42-1	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIc	_	Botswana	Acacia tree		Acacia tree	Chen et. al 2015 Mol. Ecol.	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Gbc42-1					
Gbc44-1	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIc	_	Botswana	Acacia tree		Acacia tree	Chen et. al 2015 Mol. Ecol.	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Gbc44-1					
Gbc51-2	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIc	_	Botswana	Acacia tree		Acacia tree	Chen et. al 2015 Mol. Ecol.	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Gbc51-2					
